ticker_symbols
CVX
XOM
COP
SLB
KMI
PSX
EOG
MPC
WMB
VLO
PXD
OKE
HAL
HES
BP
PLUG
ENPH
VWS
FSLR
SEDG
RUN
CSIQ
TSLA

